,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?,cls_before,cls_after,first_commit,last_commit,RF_date,all_before,all_after,change_ratio_before,change_ratoi_after,2nd_ratio_before,2nd_ratio_after,bugs_before,bugs_after,bugs_ratio_before,bugs_ratio_after
30,apache/mahout,4432e3194,Jeff Eastman,2011-12-22 20:43:26 +0000,https://github.com/apache/mahout/commit/4432e3194,core/src/main/java/org/apache/mahout/clustering/dirichlet/models/GaussianCluster.java,1,MAHOUT-846: Minor refactoring to eliminate unnecessary vector.times(SQRT2PI),ML-specific,Improve performance,Remove unnecessary matrix operation,Remove unnecessary matrix operation,RMA,True,Unnecessary model code,True,True,8,6,2010-08-18T21:47:30Z,2013-07-29T07:39:53Z,2011-12-22T20:43:26Z,808,520,0.0099,0.0115,0.8766,1.0215,1,1,0.125,0.1667
31,mimno/Mallet,1514ca8,clairew,2017-10-02 11:41:46 -0400,https://github.com/mimno/Mallet/commit/1514ca8,src/cc/mallet/types/tests/TestAlphabet.java,1,Initial commit for dependency refactor,,Generic,Reorganization,Reorganization,ORG,False,,,False,1,2,2008-01-10T18:33:09Z,2017-10-04T17:08:33Z,2017-10-02T15:56:16Z,576,4,0.0017,0.5,0.2517,72.5,0,0,0.0,0.0
32,mimno/Mallet,5a8c757,Andrew McCallum,2008-03-22 07:58:04 -0400,https://github.com/mimno/Mallet/commit/5a8c757,src/cc/mallet/topics/LDAHyper.java,1,Refactor LDAHyper with Topication class.,,ML-specific,Replace primitives with rich prediction,Replace primitives with rich prediction,PRD,True,Plain-old-data type,False,True,5,25,2008-01-12T01:19:12Z,2019-11-05T17:08:18Z,2008-03-22T11:58:04Z,46,616,0.1087,0.0406,2.3212,0.8667,2,0,0.4,0.0
33,modernmt/modernmt,4095262c,Andrea Rossi,2017-03-29 14:59:26 +0200,https://github.com/modernmt/modernmt/commit/4095262c,src/core/src/main/java/eu/modernmt/cluster/kafka/KafkaDataManager.java,1,started kafka topics refactoring,Generic,Clean up,Split variable declarations and initializations,Clean up,CLN,False,,,False,11,38,2016-12-26T15:41:33Z,2020-01-04T11:27:37Z,2017-03-29T12:59:26Z,192,1551,0.0573,0.0245,1.9972,0.8541,2,4,0.1818,0.1053
34,modernmt/modernmt,4bd91561,Davide Caroselli,2018-06-06 14:34:15 +0200,https://github.com/modernmt/modernmt/commit/4bd91561,src/decoder-neural/src/main/java/eu/modernmt/decoder/neural/memory/lucene/query/DefaultQueryBuilder.java,1,Code refactoring,,Generic,Reorganization,Reorganization,ORG,False,,,False,3,9,2018-04-12T14:54:53Z,2020-07-09T15:28:19Z,2018-06-06T12:34:15Z,59,718,0.0508,0.0125,3.0391,0.7492,1,0,0.3333,0.0
35,modernmt/modernmt,ac14f6a0,Davide Caroselli,2017-09-12 16:39:52 +0200,https://github.com/modernmt/modernmt/commit/ac14f6a0,src/decoder-neural/src/main/python/nmmt/NMTEngineTrainer.py,1,Training optimizer options refactoring,,Generic,Reorganization,Reorganization,ORG,False,Configuration,False,True,5,41,2017-08-31T15:58:18Z,2018-07-20T11:22:13Z,2017-09-12T14:39:52Z,28,626,0.1786,0.0655,2.4848,0.9114,9,0,1.8,0.0
36,modernmt/modernmt,c70cd779,Davide Caroselli,2019-05-13 15:38:22 +0200,https://github.com/modernmt/modernmt/commit/c70cd779,src/decoder-neural/src/main/python/mmt/decoder.py,1,Small code refactoring in python Decoder,,Generic,Reorganization,Reorganization,ORG,False,Configuration,False,True,3,24,2019-04-16T10:20:26Z,2020-12-18T16:58:59Z,2019-05-13T13:38:22Z,73,453,0.0411,0.053,0.772,0.9953,2,0,0.6667,0.0
37,fiji/Trainable_Segmentation,752235e,Ignacio Arganda Carreras,2010-12-06 12:10:25 -0500,https://github.com/fiji/Trainable_Segmentation/commit/752235e,ai/GiniFunction.java,1,Balanced Random Forest: refactored GiniFunction in order to increase the spped. The inner class AttributeClassPair is now extern and the comparator is static.,,Generic,Clean up,Clean up,CLN,False,,,False,2,4,2010-11-24T23:06:47Z,2012-07-04T00:12:55Z,2010-12-06T17:10:25Z,20,295,0.1,0.0136,4.5,0.6102,0,0,0.0,0.0
38,vespa-engine/vespa,08cb105294,gjoranv,2017-07-19 12:12:21 +0200,https://github.com/vespa-engine/vespa/commit/08cb105294,config-lib/src/main/java/com/yahoo/config/LeafNodeVector.java,1,Refactor LeafNodeVector,,Generic,Clean up,Clean up,CLN,False,,,False,7,6,2016-06-15T21:09:44Z,2022-09-01T10:59:06Z,2017-07-19T10:14:24Z,9247,56373,0.0008,0.0001,3.5482,0.4989,1,0,0.1429,0.0
39,vespa-engine/vespa,1a5a822bcb,toby,2017-05-22 13:41:53 +0200,https://github.com/vespa-engine/vespa/commit/1a5a822bcb,node-repository/src/main/java/com/yahoo/vespa/hosted/provision/provisioning/GroupPreparer.java,1,Replace NodeList with the refactored NodeAllocation class,,Generic,Clean up,Clean up,CLN,False,,,False,24,148,2016-06-15T21:09:44Z,2023-04-14T16:18:24Z,2017-05-22T11:41:53Z,8021,64429,0.003,0.0023,1.2531,0.962,1,0,0.0417,0.0
